URL,Size,OutLinks,ContentType
https://www.usatoday.com/staff/2646448001/steve-dimeglio/?page=2,175340,115,text/html
https://www.usatoday.com/staff/2646548001/robert-hanashiro/?page=2,152163,113,text/html
https://www.usatoday.com/staff/2684075001/lorenzo-reyes/?page=2,173851,114,text/html
https://www.usatoday.com/staff/2646119001/louie-villalobos/?page=2,173964,114,text/html
https://www.usatoday.com/staff/2647725001/dawn-gilbertson/?page=2,174559,115,text/html
https://www.usatoday.com/staff/2646466001/scott-boeck/?page=2,173318,114,text/html
https://www.usatoday.com/staff/2648297001/bryan-alexander/?page=2,175527,114,text/html
https://www.usatoday.com/media/latest/sports/nba/,235611,184,text/html
https://www.usatoday.com/media/latest/sports/college/,231721,185,text/html
https://www.usatoday.com/media/latest/opinion/cartoons/,234719,185,text/html
https://www.usatoday.com/media/latest/travel/hotels/,237055,185,text/html
https://www.usatoday.com/story/news/nation/2020/02/18/mississippi-flooding-more-rain-forecast-waterlogged-south/4794740002/,122510,135,text/html
https://www.usatoday.com/picture-gallery/news/2019/03/08/lightning-tornadoes-and-wild-storms-incredible-weather-photos/3103659002/,169025,110,text/html
